id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,bairro,crawled_at
https://www.vivareal.com.br/imoveis-lancamento/bela-coimbra-2525680154,https://www.vivareal.com.br/imoveis-lancamento/bela-coimbra-2525680154/,Bela Coimbra,"Avenida Sargento Geraldo Sant'Ana, 214 - Centro, São Paulo - SP",37-93,1-2 Quartos,1 Banheiro,1 Vaga,,R$ 199.000,,Brooklin,2021-10-10 13:53
2529376845,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-70m2-venda-RS560000-id-2529376845/,"Apartamento com 2 Quartos à Venda, 70m²","Praça General Gentil Falcão, 175 - Brooklin, São Paulo - SP",70,2 Quartos,2 Banheiros,1 Vaga,,R$ 560.000,R$ 776,Brooklin,2021-10-10 13:53
2536594809,https://www.vivareal.com.br/imovel/apartamento-4-quartos-brooklin-zona-sul-sao-paulo-com-garagem-225m2-venda-RS2790000-id-2536594809/,"Apartamento com 4 Quartos à Venda, 225m²","Rua Arizona - Brooklin, São Paulo - SP",225,4 Quartos,6 Banheiros,4 Vagas,"Piscina
Churrasqueira
Condomínio fechado
Varanda
Espaço gourmet
...",R$ 2.790.000,R$ 2.300,Brooklin,2021-10-10 13:53
2525739287,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-113m2-venda-RS1510000-id-2525739287/,"Apartamento com 3 Quartos à Venda, 113m²","Rua Guararapes, 225 - Brooklin, São Paulo - SP",113,3 Quartos,3 Banheiros,2 Vagas,"Elevador
Condomínio fechado
Varanda
Academia
Ar-condicionado
...",R$ 1.510.000,R$ 1.200,Brooklin,2021-10-10 13:53
2533727889,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-42m2-venda-RS637355-id-2533727889/,"Apartamento com Quarto à Venda, 42m²","Rua Álvaro Rodrigues, 295 - Brooklin, São Paulo - SP",42,1 Quarto,1 Banheiro,-- Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",R$ 637.355,R$ 388,Brooklin,2021-10-10 13:53
2534595201,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-47m2-venda-RS470000-id-2534595201/,"Apartamento com Quarto à Venda, 47m²","Rua Indiana, 118 - Brooklin, São Paulo - SP",47,1 Quarto,1 Banheiro,1 Vaga,,R$ 470.000,R$ 700,Brooklin,2021-10-10 13:53
2498924044,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-147m2-venda-RS1950000-id-2498924044/,"Apartamento com 3 Quartos à Venda, 147m²","Rua Barão do Triunfo, 801 - Brooklin, São Paulo - SP",147,3 Quartos,5 Banheiros,3 Vagas,"Piscina
Churrasqueira
Elevador
Academia
Espaço gourmet
...",R$ 1.950.000,R$ 1.626,Brooklin,2021-10-10 13:53
https://www.vivareal.com.br/imoveis-lancamento/viva-benx-marajoara-2528955845,https://www.vivareal.com.br/imoveis-lancamento/viva-benx-marajoara-2528955845/,Viva Benx Marajoara,"Avenida Sargento Geraldo Sant'Ana, 154 - Jardim Marajoara, São Paulo - SP",34-36,1-2 Quartos,1 Banheiro,-- Vaga,,Sob Consulta,,Brooklin,2021-10-10 13:53
2529888680,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-32m2-venda-RS493000-id-2529888680/,"Apartamento com Quarto à Venda, 32m²","Avenida Portugal, 1278 - Brooklin, São Paulo - SP",32,1 Quarto,1 Banheiro,1 Vaga,"Piscina
Mobiliado
Condomínio fechado
Academia
Aceita animais
...",R$ 493.000,R$ 10,Brooklin,2021-10-10 13:53
2535869027,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-44m2-venda-RS700000-id-2535869027/,"Apartamento com Quarto à Venda, 44m²","Rua Castilho, 155 - Brooklin, São Paulo - SP",44,1 Quarto,1 Banheiro,1 Vaga,"Piscina
Elevador
Varanda
Garagem
Área de serviço
...",R$ 700.000,R$ 550,Brooklin,2021-10-10 13:53
2525712309,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-145m2-venda-RS2149999-id-2525712309/,"Apartamento com 3 Quartos à Venda, 145m²","Rua João de Sousa Dias, 100 - Brooklin, São Paulo - SP",145,3 Quartos,5 Banheiros,3 Vagas,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",R$ 2.149.999,R$ 1.399,Brooklin,2021-10-10 13:53
2526714083,https://www.vivareal.com.br/imovel/apartamento-4-quartos-brooklin-zona-sul-sao-paulo-com-garagem-180m2-venda-RS2325000-id-2526714083/,"Apartamento com 4 Quartos à Venda, 180m²","Rua Santo Arcádio, 92 - Brooklin, São Paulo - SP",180,4 Quartos,5 Banheiros,3 Vagas,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",R$ 2.325.000,R$ 2.160,Brooklin,2021-10-10 13:53
2514599416,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-101m2-venda-RS1250000-id-2514599416/,"Apartamento com 3 Quartos à Venda, 101m²","Rua Getúlio Soares da Rocha, 135 - Brooklin, São Paulo - SP",101,3 Quartos,2 Banheiros,2 Vagas,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Varanda
...",R$ 1.250.000,R$ 950,Brooklin,2021-10-10 13:53
2537001501,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-164m2-venda-RS3040000-id-2537001501/,"Apartamento com 3 Quartos à Venda, 164m²","Rua Nova York - Brooklin, São Paulo - SP",164,3 Quartos,5 Banheiros,3 Vagas,"Piscina
Mobiliado
Churrasqueira
Elevador
Condomínio fechado
...",R$ 3.040.000,R$ 1.350,Brooklin,2021-10-10 13:53
https://www.vivareal.com.br/imoveis-lancamento/plano-jardim-marajoara-2516221302,https://www.vivareal.com.br/imoveis-lancamento/plano-jardim-marajoara-2516221302/,Plano&Jardim Marajoara,"Rua João Gomes Batista, 1100 - Jardim Cidália, São Paulo - SP",25-32,1 Quarto,1 Banheiro,1 Vaga,,R$ 158.500,,Brooklin,2021-10-10 13:53
2535764001,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-70m2-venda-RS650000-id-2535764001/,Apartamento com 2 Quartos para Venda/Aluguel 70m²,"Brooklin, São Paulo - SP",70,2 Quartos,2 Banheiros,1 Vaga,"Interfone
Armário na cozinha
Quintal
Varanda
Área de serviço","R$ 2.100 /mês
R$ 650.000",R$ 1.000,Brooklin,2021-10-10 13:53
2531989091,https://www.vivareal.com.br/imovel/apartamento-4-quartos-brooklin-zona-sul-sao-paulo-com-garagem-169m2-venda-RS1950000-id-2531989091/,"Apartamento com 4 Quartos à Venda, 169m²","Rua Barão do Triunfo, 117 - Brooklin, São Paulo - SP",169,4 Quartos,3 Banheiros,3 Vagas,"Piscina
Mobiliado
Churrasqueira
Varanda
Quintal
...",R$ 1.950.000,R$ 2.000,Brooklin,2021-10-10 13:53
2526305622,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-43m2-venda-RS500000-id-2526305622/,"Apartamento com Quarto à Venda, 43m²","Rua Conceição de Monte Alegre, 805 - Brooklin, São Paulo - SP",43,1 Quarto,2 Banheiros,1 Vaga,"Salão de festas
Portaria 24h
Aceita animais",R$ 500.000,R$ 660,Brooklin,2021-10-10 13:53
2518305865,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-62m2-venda-RS1045000-id-2518305865/,"Apartamento com 2 Quartos à Venda, 62m²","Rua Nova York, 245 - Brooklin, São Paulo - SP",62,2 Quartos,2 Banheiros,1 Vaga,"Piscina
Mobiliado
Churrasqueira
Condomínio fechado
Academia
...",R$ 1.045.000,R$ 10,Brooklin,2021-10-10 13:53
2535164581,https://www.vivareal.com.br/imovel/apartamento-4-quartos-brooklin-zona-sul-sao-paulo-com-garagem-167m2-venda-RS2065000-id-2535164581/,"Apartamento com 4 Quartos à Venda, 167m²","Rua Ministro Luiz Gallotti - Brooklin, São Paulo - SP",167,4 Quartos,3 Banheiros,2 Vagas,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",R$ 2.065.000,R$ 1,Brooklin,2021-10-10 13:53
2534688711,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-24m2-venda-RS278000-id-2534688711/,"Apartamento com Quarto à Venda, 24m²","Avenida Doutor Chucri Zaidan, 111 - Brooklin, São Paulo - SP",24,1 Quarto,1 Banheiro,-- Vaga,"Piscina
Churrasqueira
Elevador
Condomínio fechado
Academia
...",R$ 278.000,R$ 200,Brooklin,2021-10-10 13:53
