id,url,header,address,area,bathrooms,garages,amenites,price,condo,bairro,crawled_at
2537013889,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-108m2-venda-RS1127690-id-2537013889/,"Apartamento com 3 Quartos à Venda, 108m²","Rua Santo Arcádio, 92 - Brooklin, São Paulo - SP",108,4 Banheiros,2 Vagas,Piscina Churrasqueira Elevador Condomínio fechado Varanda ...,R$ 1.127.690,R$ 972,Brooklin,2021-10-10 15:44
2535302143,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-60m2-venda-RS1100000-id-2535302143/,Apartamento com 2 Quartos para Venda/Aluguel 60m²,"Rua Guararapes, 443 - Brooklin, São Paulo - SP",60,1 Banheiro,1 Vaga,Garagem Condomínio fechado,R$ 1.100.000,R$ 680,Brooklin,2021-10-10 15:44
2531791178,https://www.vivareal.com.br/imovel/cobertura-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-270m2-venda-RS1800000-id-2531791178/,"Apartamento com 3 Quartos à Venda, 270m²","Rua dos Brasões, 78 - Brooklin, São Paulo - SP",270,5 Banheiros,4 Vagas,Piscina Churrasqueira Elevador Condomínio fechado Varanda ...,R$ 1.800.000,R$ 3.452,Brooklin,2021-10-10 15:44
https://www.vivareal.com.br/imoveis-lancamento/vivaz-transamerica-2524755431,https://www.vivareal.com.br/imoveis-lancamento/vivaz-transamerica-2524755431/,Vivaz Transamerica,"Avenida Mário Lopes Leão, 1000 - Santo Amaro, São Paulo - SP",24-33,1 Banheiro,-- Vaga,None,R$ 191.466,,Brooklin,2021-10-10 15:44
2534154175,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-113m2-venda-RS1350000-id-2534154175/,"Apartamento com 3 Quartos à Venda, 113m²","Avenida Portugal - Brooklin, São Paulo - SP",113,3 Banheiros,2 Vagas,None,R$ 1.350.000,R$ 1.480,Brooklin,2021-10-10 15:44
2534752089,https://www.vivareal.com.br/imovel/cobertura-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-170m2-venda-RS1390000-id-2534752089/,"Apartamento com 3 Quartos à Venda, 170m²","Rua Pensilvânia - Brooklin, São Paulo - SP",170,4 Banheiros,2 Vagas,Condomínio fechado Portaria 24h Aceita animais Lareira,R$ 1.390.000,R$ 1.300,Brooklin,2021-10-10 15:44
2511890509,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-141m2-venda-RS1690000-id-2511890509/,"Apartamento com 3 Quartos à Venda, 141m²","Rua Guararapes - Brooklin, São Paulo - SP",141,4 Banheiros,2 Vagas,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 1.690.000,R$ 1.400,Brooklin,2021-10-10 15:44
2534302181,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-67m2-venda-RS699900-id-2534302181/,"Apartamento com 2 Quartos à Venda, 67m²","Rua Getúlio Soares da Rocha - Brooklin, São Paulo - SP",67,2 Banheiros,1 Vaga,Piscina Churrasqueira Elevador Academia Espaço gourmet ...,R$ 699.900,,Brooklin,2021-10-10 15:44
2524379935,https://www.vivareal.com.br/imovel/cobertura-4-quartos-brooklin-zona-sul-sao-paulo-com-garagem-420m2-venda-RS6900000-id-2524379935/,"Apartamento com 4 Quartos à Venda, 420m²","Rua Pensilvânia - Brooklin, São Paulo - SP",420,6 Banheiros,6 Vagas,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 6.900.000,R$ 2.600,Brooklin,2021-10-10 15:44
2537560582,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-107m2-venda-RS1353000-id-2537560582/,"Apartamento com 3 Quartos à Venda, 107m²","Rua Santo Arcádio, 92 - Brooklin, São Paulo - SP",107,2 Banheiros,2 Vagas,Piscina Churrasqueira Elevador Condomínio fechado Academia ...,R$ 1.353.000,,Brooklin,2021-10-10 15:44
https://www.vivareal.com.br/imoveis-lancamento/vivaz-transamerica-2528353235,https://www.vivareal.com.br/imoveis-lancamento/vivaz-transamerica-2528353235/,Vivaz Transamerica,"Avenida Mário Lopes Leão, 1000 - Santo Amaro, São Paulo - SP",24-33,1 Banheiro,-- Vaga,None,R$ 199.000,,Brooklin,2021-10-10 15:44
2528282611,https://www.vivareal.com.br/imovel/apartamento-4-quartos-brooklin-zona-sul-sao-paulo-com-garagem-258m2-venda-RS3500000-id-2528282611/,"Apartamento com 4 Quartos à Venda, 258m²","Rua Ministro Luiz Gallotti - Brooklin, São Paulo - SP",258,5 Banheiros,4 Vagas,Churrasqueira Piscina Playground Salão de festas Jardim,R$ 3.500.000,R$ 2.200,Brooklin,2021-10-10 15:44
2531005319,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-301m2-venda-RS5000000-id-2531005319/,"Apartamento com 3 Quartos à Venda, 301m²","Rua Flórida, 320 - Brooklin, São Paulo - SP",301,7 Banheiros,4 Vagas,Condomínio fechado Academia Espaço gourmet Ar-condicionado Área de serviço ...,R$ 5.000.000,,Brooklin,2021-10-10 15:44
2510080649,https://www.vivareal.com.br/imovel/apartamento-2-quartos-brooklin-zona-sul-sao-paulo-com-garagem-76m2-venda-RS887000-id-2510080649/,"Apartamento com 2 Quartos à Venda, 76m²","Rua Andréa Paulinetti, 234 - Brooklin, São Paulo - SP",76,3 Banheiros,1 Vaga,Piscina Churrasqueira Elevador Condomínio fechado Varanda ...,R$ 887.000,,Brooklin,2021-10-10 15:44
2518860173,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-147m2-venda-RS2130000-id-2518860173/,"Apartamento com 3 Quartos à Venda, 147m²","Rua Barão do Triunfo - Brooklin, São Paulo - SP",147,4 Banheiros,3 Vagas,Piscina Mobiliado Churrasqueira Elevador Academia ...,R$ 2.130.000,R$ 1.570,Brooklin,2021-10-10 15:44
2529443106,https://www.vivareal.com.br/imovel/apartamento-3-quartos-brooklin-zona-sul-sao-paulo-com-garagem-130m2-venda-RS2050000-id-2529443106/,"Apartamento com 3 Quartos à Venda, 130m²","Rua Doutor Paschoal Imperatriz, 50 - Brooklin, São Paulo - SP",130,5 Banheiros,3 Vagas,Piscina Mobiliado Churrasqueira Academia Espaço gourmet ...,R$ 2.050.000,R$ 1.000,Brooklin,2021-10-10 15:44
2534313984,https://www.vivareal.com.br/imovel/apartamento-1-quartos-brooklin-zona-sul-sao-paulo-com-garagem-38m2-venda-RS600000-id-2534313984/,"Apartamento com Quarto à Venda, 38m²","Rua Flórida - Brooklin, São Paulo - SP",38,1 Banheiro,1 Vaga,Piscina Churrasqueira Elevador Academia Aceita animais ...,R$ 600.000,,Brooklin,2021-10-10 15:44
